"Subject","Language","Type","Item","Trial","Score","RT"
10,"L1","visuell","audio/n11.wav",13,1,3.916703022
10,"L1","visuell","audio/n12.wav",14,1,7.121651556
10,"L1","kontroll","audio/n20.wav",15,0,2.545377716
10,"L1","visuell","audio/n15.wav",16,1,4.532933464
10,"L1","visuell","audio/n14.wav",17,1,4.081992848
10,"L1","visuospatial","audio/n2.wav",18,1,2.378050663
10,"L1","kontroll","audio/n5.wav",19,1,4.766672226
10,"L1","visuell","audio/n9.wav",20,1,9.844042537
10,"L1","visuospatial","audio/n3.wav",21,1,3.113056012
10,"L1","kontroll","audio/n19.wav",22,0,2.56192607
10,"L1","visuell","audio/n13.wav",23,1,3.831190638
10,"L1","visuospatial","audio/n23.wav",24,0,2.345305664
10,"L2","kontroll","audio/r10.wav",1,1,2.862686279
10,"L2","visuell","audio/r5.wav",2,1,9.14434315
10,"L2","visuospatial","audio/r17.wav",3,1,2.610328299
10,"L2","kontroll","audio/r12.wav",4,1,2.578597965
10,"L2","visuospatial","audio/r21.wav",5,1,2.712108881
