Subject;Lang.;Type;Item;Trial;Score;RT (gammal);RT
6;L1;visuospatial;audio/n1.wav;23;1;2.609110864;2.609110864
6;L1;kontroll;audio/n17.wav;24;1;1.507414807;1.507414807
6;L2;visuell;audio/r3.wav;1;1;0.219243125;0.219243125
6;L2;visuell;audio/r8.wav;2;1;0.955640236;0.955640236
6;L2;visuospatial;audio/r20.wav;3;1;0.621638973;0.621638973
6;L2;visuell;audio/r7.wav;4;1;0.154735923;0.154735923
6;L2;visuospatial;audio/r19.wav;5;1;0.620290295;0.620290295
6;L2;kontroll;audio/r13.wav;6;1;0.204213754;0.204213754
6;L2;kontroll;audio/r16.wav;7;0;0.91958866;0.91958866
6;L2;visuospatial;audio/r17.wav;8;1;0.637476301;0.637476301
6;L2;visuospatial;audio/r23.wav;9;0;0.656168166;0.656168166
6;L2;visuell;audio/r5.wav;10;1;0.169631704;0.169631704
6;L2;kontroll;audio/r15.wav;11;0;0.604503503;0.604503503
6;L2;visuospatial;audio/r21.wav;12;1;0.336779982;0.336779982
6;L2;visuell;audio/r2.wav;13;1;0.436863945;0.436863945
6;L2;visuospatial;audio/r22.wav;14;1;0.703268813;0.703268813
6;L2;visuell;audio/r1.wav;15;1;0.455452843;0.455452843
6;L2;kontroll;audio/r14.wav;16;1;0.237050511;0.237050511
6;L2;visuell;audio/r4.wav;17;1;0.470223616;0.470223616
6;L2;visuospatial;audio/r24.wav;18;1;0.386653953;0.386653953
6;L2;kontroll;audio/r10.wav;19;1;0.072002599;0.072002599
6;L2;kontroll;audio/r12.wav;20;1;0.153690034;0.153690034
6;L2;visuell;audio/r6.wav;21;1;4.279232711;4.279232711
6;L2;visuospatial;audio/r18.wav;22;1;0.270080974;0.270080974
6;L2;kontroll;audio/r9.wav;23;1;0.771128099;0.771128099
6;L2;kontroll;audio/r11.wav;24;1;0.93586643;0.93586643
7;L1;visuell;audio/n15.wav;1;0;2.675913974;0.675913974
7;L1;kontroll;audio/n20.wav;2;1;3.143910062;1.143910062
7;L1;kontroll;audio/n7.wav;3;1;2.76029294;0.76029294
7;L1;visuospatial;audio/n1.wav;4;1;3.610547377;1.610547377
7;L1;kontroll;audio/n8.wav;5;1;5.213804953;3.213804953
7;L1;visuell;audio/n9.wav;6;1;6.082441694;4.082441694
7;L1;visuospatial;audio/n2.wav;7;1;3.344302571;1.344302571
7;L1;visuell;audio/n10.wav;8;1;4.346267408;2.346267408
7;L1;visuell;audio/n12.wav;9;1;10.22454518;8.224545181
7;L1;visuell;audio/n11.wav;10;1;3.910630327;1.910630327
7;L1;visuospatial;audio/n22.wav;11;0;3.027842656;1.027842656
7;L1;visuospatial;audio/n21.wav;12;1;2.874828923;0.874828923
7;L1;visuell;audio/n16.wav;13;1;4.144446438;2.144446438
7;L1;kontroll;audio/n5.wav;14;1;9.806818063;7.806818063
7;L1;kontroll;audio/n6.wav;15;1;7.569189265;5.569189265
7;L1;kontroll;audio/n18.wav;16;1;3.845576717;1.845576717
7;L1;kontroll;audio/n17.wav;17;1;4.714468633;2.714468633
7;L1;visuell;audio/n13.wav;18;0;7.88426321;5.88426321
7;L1;visuospatial;audio/n24.wav;19;1;3.126049467;1.126049467
7;L1;kontroll;audio/n19.wav;20;1;2.908846586;0.908846586
7;L1;visuospatial;audio/n23.wav;21;1;2.925570169;0.925570169
7;L1;visuell;audio/n14.wav;22;1;2.944249849;0.944249849
7;L1;visuospatial;audio/n3.wav;23;1;3.343428081;1.343428081
7;L1;visuospatial;audio/n4.wav;24;1;4.479720904;2.479720904
7;L2;visuell;audio/r5.wav;1;0;7.418226261;5.418226261
7;L2;visuospatial;audio/r23.wav;2;1;3.108820158;1.108820158
7;L2;visuospatial;audio/r17.wav;3;1;2.725413783;0.725413783
7;L2;visuospatial;audio/r21.wav;4;1;3.477209222;1.477209222
7;L2;visuell;audio/r3.wav;5;1;5.431395921;3.431395921
7;L2;visuospatial;audio/r22.wav;6;1;13.59820505;11.59820505
7;L2;visuell;audio/r4.wav;7;1;6.066144209;4.066144209
7;L2;kontroll;audio/r16.wav;8;1;10.74209149;8.742091487
7;L2;visuospatial;audio/r20.wav;9;0;7.468997536;5.468997536
7;L2;visuell;audio/r7.wav;10;1;2.842219804;0.842219804
7;L2;kontroll;audio/r12.wav;11;0;7.935991645;5.935991645
7;L2;visuospatial;audio/r24.wav;12;0;8.438482605;6.438482605
7;L2;visuospatial;audio/r18.wav;13;1;2.875636872;0.875636872
7;L2;kontroll;audio/r9.wav;14;1;3.393657208;1.393657208
7;L2;kontroll;audio/r13.wav;15;1;4.228074663;2.228074663
7;L2;visuell;audio/r6.wav;16;1;3.375645227;1.375645227
7;L2;visuell;audio/r2.wav;17;1;2.72525113;0.72525113
7;L2;kontroll;audio/r10.wav;18;1;3.659985124;1.659985124
7;L2;kontroll;audio/r11.wav;19;1;2.839916455;0.839916455
7;L2;visuell;audio/r1.wav;20;1;5.815312743;3.815312743
7;L2;visuospatial;audio/r19.wav;21;1;6.01574527;4.01574527
7;L2;kontroll;audio/r15.wav;22;1;4.812413499;2.812413499
7;L2;kontroll;audio/r14.wav;23;1;2.74165013;0.74165013
7;L2;visuell;audio/r8.wav;24;1;2.67295461;0.67295461
8;L1;kontroll;audio/n19.wav;1;1;3.292530307;1.292530307
8;L1;visuospatial;audio/n4.wav;2;1;3.09224215;1.09224215
8;L1;kontroll;audio/n5.wav;3;1;3.276405207;1.276405207
8;L1;visuell;audio/n15.wav;4;1;2.857153239;0.857153239
8;L1;kontroll;audio/n6.wav;5;1;2.624711582;0.624711582
8;L1;visuell;audio/n11.wav;6;1;2.908259942;0.908259942
8;L1;visuospatial;audio/n1.wav;7;1;4.128208685;2.128208685
8;L1;visuospatial;audio/n3.wav;8;1;3.02763976;1.02763976
8;L1;visuospatial;audio/n22.wav;9;1;2.825834;0.825834
8;L1;kontroll;audio/n8.wav;10;1;2.791858997;0.791858997
8;L1;visuell;audio/n9.wav;11;1;3.810346278;1.810346278
8;L1;visuell;audio/n16.wav;12;1;3.125987022;1.125987022
8;L1;visuospatial;audio/n24.wav;13;1;2.759321348;0.759321348
8;L1;visuell;audio/n13.wav;14;1;2.624934048;0.624934048
8;L1;visuell;audio/n12.wav;15;1;2.540784091;0.540784091
8;L1;visuospatial;audio/n23.wav;16;1;3.343138483;1.343138483
8;L1;kontroll;audio/n18.wav;17;1;2.775047125;0.775047125
8;L1;visuospatial;audio/n21.wav;18;1;3.410611848;1.410611848
8;L1;kontroll;audio/n20.wav;19;1;2.894267955;0.894267955
8;L1;kontroll;audio/n7.wav;20;1;3.175421296;1.175421296
8;L1;kontroll;audio/n17.wav;21;1;3.444847921;1.444847921
8;L1;visuell;audio/n10.wav;22;1;3.544852936;1.544852936
8;L1;visuospatial;audio/n2.wav;23;1;3.125623066;1.125623066
8;L1;visuell;audio/n14.wav;24;1;2.709022855;0.709022855
8;L2;kontroll;audio/r14.wav;1;1;3.123999941;1.123999941
8;L2;visuell;audio/r5.wav;2;1;2.642100913;0.642100913
8;L2;visuospatial;audio/r23.wav;3;1;2.858457457;0.858457457
8;L2;visuospatial;audio/r18.wav;4;1;2.890140421;0.890140421
8;L2;kontroll;audio/r9.wav;5;1;2.859205866;0.859205866
8;L2;visuell;audio/r4.wav;6;1;2.809512176;0.809512176
8;L2;visuospatial;audio/r19.wav;7;1;4.129151253;2.129151253
8;L2;visuell;audio/r1.wav;8;1;3.060275398;1.060275398
8;L2;kontroll;audio/r13.wav;9;1;2.942531015;0.942531015
8;L2;visuell;audio/r7.wav;10;1;3.377730308;1.377730308
8;L2;visuospatial;audio/r20.wav;11;1;2.791742761;0.791742761
8;L2;visuospatial;audio/r17.wav;12;1;3.627106348;1.627106348
8;L2;visuospatial;audio/r24.wav;13;1;3.595372551;1.595372551
8;L2;visuospatial;audio/r21.wav;14;1;2.575129402;0.575129402
8;L2;kontroll;audio/r12.wav;15;1;2.47586194;0.47586194
8;L2;kontroll;audio/r11.wav;16;1;2.35859786;0.35859786
8;L2;visuell;audio/r8.wav;17;0;3.67658299;1.67658299
8;L2;visuell;audio/r2.wav;18;1;2.791771367;0.791771367
8;L2;kontroll;audio/r10.wav;19;1;2.442414397;0.442414397
8;L2;kontroll;audio/r15.wav;20;1;2.541916703;0.541916703
8;L2;kontroll;audio/r16.wav;21;1;3.126298559;1.126298559
8;L2;visuell;audio/r3.wav;22;1;2.224176738;0.224176738
8;L2;visuospatial;audio/r22.wav;23;1;2.541159268;0.541159268
8;L2;visuell;audio/r6.wav;24;1;5.647701769;3.647701769
9;L1;visuell;audio/n16.wav;1;1;2.941584728;0.941584728
9;L1;visuell;audio/n11.wav;2;1;4.244541967;2.244541967
9;L1;visuospatial;audio/n2.wav;3;1;4.094468426;2.094468426
9;L1;visuell;audio/n12.wav;4;1;6.21547167;4.21547167
9;L1;visuell;audio/n15.wav;5;1;2.305587164;0.305587164
9;L1;kontroll;audio/n5.wav;6;1;2.440792509;0.440792509
9;L1;visuospatial;audio/n4.wav;7;1;5.49722016;3.49722016
9;L1;kontroll;audio/n17.wav;8;1;3.476088715;1.476088715
9;L1;visuell;audio/n14.wav;9;1;2.841494883;0.841494883
9;L1;visuell;audio/n10.wav;10;1;5.297174949;3.297174949
9;L1;kontroll;audio/n8.wav;11;1;2.624385347;0.624385347
